# Source: GCAM Reference,,,
"# Unit: 1975$/kg for Pasture, Fodder; 1975$/GJ for biomass; 1975$/m3 for Forest",,,
# Notes: Data are based on 2010 prices in GCAM. These are used in all historical periods,,,
# ,,,
region,sector,year,price
USA,Pasture,1986,0.0376
USA,Pasture,1987,0.0376
USA,Pasture,1988,0.0376
USA,Pasture,1989,0.0376
USA,Pasture,1990,0.0376
USA,Pasture,1991,0.0376
USA,Pasture,1992,0.0376
USA,Pasture,1993,0.0376
USA,Pasture,1994,0.0376
USA,Pasture,1995,0.0376
USA,Pasture,1996,0.0376
USA,Pasture,1997,0.0376
USA,Pasture,1998,0.0376
USA,Pasture,1999,0.0376
USA,Pasture,2000,0.0376
USA,Pasture,2001,0.0376
USA,Pasture,2002,0.0376
USA,Pasture,2003,0.0376
USA,Pasture,2004,0.0376
USA,Pasture,2005,0.0376
USA,Pasture,2006,0.0376
USA,Pasture,2007,0.0376
USA,Pasture,2008,0.0376
USA,Pasture,2009,0.0376
USA,Pasture,2010,0.0376
USA,Pasture,2011,0.0376
USA,Pasture,2012,0.0376
USA,Pasture,2013,0.0376
USA,Pasture,2014,0.0376
USA,Pasture,2015,0.0376
USA,biomass,1970,1.24091
USA,biomass,1971,1.24091
USA,biomass,1972,1.24091
USA,biomass,1973,1.24091
USA,biomass,1974,1.24091
USA,biomass,1975,1.24091
USA,biomass,1976,1.24091
USA,biomass,1977,1.24091
USA,biomass,1978,1.24091
USA,biomass,1979,1.24091
USA,biomass,1980,1.24091
USA,biomass,1981,1.24091
USA,biomass,1982,1.24091
USA,biomass,1983,1.24091
USA,biomass,1984,1.24091
USA,biomass,1985,1.24091
USA,biomass,1986,1.24091
USA,biomass,1987,1.24091
USA,biomass,1988,1.24091
USA,biomass,1989,1.24091
USA,biomass,1990,1.24091
USA,biomass,1991,1.24091
USA,biomass,1992,1.24091
USA,biomass,1993,1.24091
USA,biomass,1994,1.24091
USA,biomass,1995,1.24091
USA,biomass,1996,1.24091
USA,biomass,1997,1.24091
USA,biomass,1998,1.24091
USA,biomass,1999,1.24091
USA,biomass,2000,1.24091
USA,biomass,2001,1.24091
USA,biomass,2002,1.24091
USA,biomass,2003,1.24091
USA,biomass,2004,1.24091
USA,biomass,2005,1.24091
USA,biomass,2006,1.24091
USA,biomass,2007,1.24091
USA,biomass,2008,1.24091
USA,biomass,2009,1.24091
USA,biomass,2010,1.24091
USA,biomass,2011,1.24091
USA,biomass,2012,1.24091
USA,biomass,2013,1.24091
USA,biomass,2014,1.24091
USA,biomass,2015,1.24091
